USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
cluster   6290  0.0  0.0   3784  2116 ?        S    13:37   0:00 mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6291  0.0  0.2 103768 17524 ?        S    13:37   0:00 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6292  9.8  0.1  99316 14404 ?        R    13:37  29:38 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6293  9.7  0.1  99316 14408 ?        R    13:37  29:16 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
cluster   6294  9.8  0.1  99312 14396 ?        R    13:37  29:37 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/ plan
www-data  6332  0.0  0.0   2236   544 ?        S    13:39   0:00 sh -c sudo -u cluster mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile  python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf 'plan'
root      6333  0.0  0.0   3772  1628 ?        S    13:39   0:00 sudo -u cluster mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
cluster   6334  0.0  0.0   3784  2116 ?        S    13:39   0:00 mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
cluster   6335  0.0  0.2 103760 17516 ?        S    13:39   0:00 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
cluster   6336  9.1  0.1  99316 14400 ?        R    13:39  27:20 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
cluster   6337  9.1  0.1  99316 14400 ?        R    13:39  27:30 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
cluster   6338  9.2  0.1  99320 14400 ?        R    13:39  27:43 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
www-data  6374  0.0  0.0   2236   548 ?        S    13:40   0:00 sh -c sudo -u cluster mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile  python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf 'plan'
root      6375  0.0  0.0   3772  1628 ?        S    13:40   0:00 sudo -u cluster mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
cluster   6376  0.0  0.0   3784  2120 ?        S    13:40   0:00 mpiexec -n 4 --hostfile /mpi/desarrollo-paralelas-2014/hostfile python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
cluster   6377  0.0  0.2 103764 17512 ?        S    13:40   0:00 python /mpi/desarrollo-paralelas-2014/shellParallelExplicit.py /mpi/desarrollo-paralelas-2014/web/subidas/InformePlanificacionLab2ComputacionParalela.pdf plan
